participantId,group,lecture_type,practice_type,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,3,6,0.6666666666666666,0.10946666666666663,0.5680333333333334,0.14693333333333336,0.20366666666666666,0.49520000000000003,0.17960000000000004,0.23813333333333334,0
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,3,6,1,0.23066666666666666,0.2333,-0.18779999999999997,0.29706666666666665,0.17243333333333333,-0.14316666666666666,0.20103333333333331,0
69e913482ae5864d44e6387c,PC,PlotWise,Control,3,6.333333333333333,0.33333333333333337,-0.05203333333333336,0.6009333333333333,0.17983333333333337,0.17983333333333337,0.4871,0.1715,0.1715,0
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,3,6,0.6666666666666666,0.06046666666666667,0.35023333333333334,-0.07086666666666663,0.07086666666666663,0.22706666666666667,-0.088533333333333325,0.088533333333333325,0
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,3,6.666666666666667,1,0.23646666666666666,0.2391,-0.18199999999999997,0.4116666666666666,0.19563333333333333,-0.11996666666666667,0.34049999999999997,0
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,3,6,0.6666666666666666,0.13526666666666667,0.35563333333333336,-0.06546666666666662,0.1776666666666667,0.3073,-0.008299999999999984,0.15916666666666665,0
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,3,6.666666666666667,0.6666666666666666,0.13113333333333332,0.25003333333333333,-0.17106666666666662,0.17106666666666662,0.22103333333333333,-0.09456666666666667,0.09596666666666666,0
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,3,6,1,0.2556333333333333,0.2122666666666667,-0.2088333333333333,0.2556333333333333,0.15906666666666666,-0.15653333333333333,0.18506666666666666,1
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,3,6,1,0.2504,0.2135,-0.20759999999999998,0.322,0.17853333333333335,-0.13706666666666664,0.26739999999999997,0
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,3,6,1,0.36926666666666663,0.19963333333333333,-0.22146666666666662,0.36926666666666663,0.16180000000000003,-0.1538,0.27493333333333336,1
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,3,6,0.6666666666666666,0.11743333333333333,0.2886,-0.13249999999999998,0.13249999999999998,0.19183333333333333,-0.12376666666666666,0.12376666666666666,0
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,3,6,1,0.32556666666666667,0.3564,-0.06469999999999997,0.32556666666666667,0.21459999999999999,-0.101,0.23826666666666665,0
