participantId,group,lecture_type,practice_type,trialId,responseId,responsePrompt,answer,answer_num,answer_scored,scale_type,question_label,reverse,duration,cleanedDuration
69991d70dd2583a349d03468,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,1,1,1,MSI,Correlation and slope are interesting,FALSE,19127,19127
69991d70dd2583a349d03468,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,1,1,1,MSI,Statistics is interesting,FALSE,19127,19127
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,6,6,1,TSI,Video was boring,TRUE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,1,1,1,TSI,Enjoyed learning new things,FALSE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,1,1,1,TSI,Enjoyed this session,FALSE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,1,1,1,TSI,Fun to learn about statistics this way,FALSE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,1,1,1,TSI,Video was fun,FALSE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,5,5,2,TSI,Session was boring,TRUE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,1,1,1,TSI,Session was fun,FALSE,32714,32714
69991d70dd2583a349d03468,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,1,1,1,TSI,Session was interesting,FALSE,32714,32714
699a436ee9032e2b2333d3c1,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,6,6,6,FutureInterest,Interested in any study,FALSE,10540,10540
699a436ee9032e2b2333d3c1,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,6,6,6,FutureInterest,Interested in a dynamic visualization study,FALSE,10540,10540
699a436ee9032e2b2333d3c1,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,6,6,6,FutureInterest,Interested in a statistics study,FALSE,10540,10540
699a436ee9032e2b2333d3c1,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,5,5,5,MSI,Enjoyed learning about correlation and slope,FALSE,14281,14281
699a436ee9032e2b2333d3c1,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",5,5,5,MSI,Excited about correlation and slope,FALSE,14281,14281
699a436ee9032e2b2333d3c1,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,6,6,6,MSI,Correlation and slope are interesting,FALSE,14281,14281
699a436ee9032e2b2333d3c1,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,5,5,5,MSI,Statistics is interesting,FALSE,14281,14281
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,2,2,5,TSI,Video was boring,TRUE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,6,6,6,TSI,Enjoyed learning new things,FALSE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,6,6,6,TSI,Enjoyed this session,FALSE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,5,5,5,TSI,Fun to learn about statistics this way,FALSE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,5,5,5,TSI,Video was fun,FALSE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,1,1,6,TSI,Session was boring,TRUE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,5,5,5,TSI,Session was fun,FALSE,24347,24347
699a436ee9032e2b2333d3c1,CC,Control,Control,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,6,6,6,TSI,Session was interesting,FALSE,24347,24347
69b5d74131631c0333607bec,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,5,5,5,FutureInterest,Interested in any study,FALSE,4686,4686
69b5d74131631c0333607bec,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,5,5,5,FutureInterest,Interested in a dynamic visualization study,FALSE,4686,4686
69b5d74131631c0333607bec,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,5,5,5,FutureInterest,Interested in a statistics study,FALSE,4686,4686
69b5d74131631c0333607bec,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,6,6,6,MSI,Enjoyed learning about correlation and slope,FALSE,19224,19224
69b5d74131631c0333607bec,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",5,5,5,MSI,Excited about correlation and slope,FALSE,19224,19224
