participantId,group,lecture_type,practice_type,stat_type,n_items,n_valid,n_extreme,mean_abs_error,median_abs_error,mean_abs_error_all,median_abs_error_all,sign_error_rate
69c13c0ad9ea03501703d527,PC,PlotWise,Control,correlation,8,8,0,0.16625,0.13000000000000006,0.16625,0.13000000000000006,0
69c13c0ad9ea03501703d527,PC,PlotWise,Control,slope,7,7,0,0.06999999999999999,0.030000000000000027,0.06999999999999999,0.030000000000000027,0
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,correlation,8,8,0,0.2625,0.17000000000000004,0.2625,0.17000000000000004,0.125
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,slope,7,7,0,0.40285714285714286,0.19999999999999996,0.40285714285714286,0.19999999999999996,0
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,correlation,8,8,0,0.22499999999999998,0.19999999999999996,0.22499999999999998,0.19999999999999996,0
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,slope,7,7,0,0.06,0.03999999999999998,0.06,0.03999999999999998,0
69e913482ae5864d44e6387c,PC,PlotWise,Control,correlation,8,8,0,0.20000000000000004,0.17,0.20000000000000004,0.17,0
69e913482ae5864d44e6387c,PC,PlotWise,Control,slope,7,7,0,0.21285714285714288,0.16000000000000003,0.21285714285714288,0.16000000000000003,0
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,correlation,8,8,0,0.29125,0.23500000000000001,0.29125,0.23500000000000001,0
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,slope,7,7,0,0.6571428571428571,0.63,0.6571428571428571,0.63,0.14285714285714288
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,correlation,8,8,0,0.13874999999999998,0.10499999999999998,0.13874999999999998,0.10499999999999998,0
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,slope,7,7,0,0.3342857142857143,0.16000000000000003,0.3342857142857143,0.16000000000000003,0
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,correlation,8,8,0,0.49624999999999997,0.39499999999999996,0.49624999999999997,0.39499999999999996,0.375
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,slope,7,7,0,0.16,0.039999999999999925,0.16,0.039999999999999925,0
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,correlation,8,8,0,0.13249999999999998,0.09999999999999998,0.13249999999999998,0.09999999999999998,0
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,slope,7,7,0,0.39142857142857146,0.36,0.39142857142857146,0.36,0
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,correlation,8,8,0,0.3775,0.15,0.3775,0.15,0.125
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,slope,7,7,0,0.1657,0.09999999999999998,0.1657,0.09999999999999998,0
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,correlation,8,8,0,0.13,0.10999999999999996,0.13,0.10999999999999996,0
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,slope,7,7,0,0.11142857142857143,0.09000000000000001,0.11142857142857143,0.09000000000000001,0
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,correlation,8,8,0,0.52875,0.27,0.52875,0.27,0.25
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,slope,7,7,0,0.18857142857142856,0.19999999999999996,0.18857142857142856,0.19999999999999996,0
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,correlation,8,8,0,0.4025,0.32,0.4025,0.32,0
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,slope,7,7,0,0.38285714285714284,0.33,0.38285714285714284,0.33,0
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,correlation,8,8,0,0.10374999999999998,0.09999999999999998,0.10374999999999998,0.09999999999999998,0
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,slope,7,7,0,0.06785714285714287,0.03999999999999998,0.06785714285714287,0.03999999999999998,0
67204af156acf704058c6e66,PP,PlotWise,PlotWise,correlation,8,8,0,0.20375,0.18,0.20375,0.18,0
67204af156acf704058c6e66,PP,PlotWise,PlotWise,slope,7,7,0,0.3242857142857143,0.25,0.3242857142857143,0.25,0
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,correlation,8,8,0,0.105,0.09999999999999998,0.105,0.09999999999999998,0
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,slope,7,7,0,0.12857142857142856,0.09999999999999998,0.12857142857142856,0.09999999999999998,0
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,correlation,8,8,0,0.33,0.295,0.33,0.295,0.125
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,slope,7,7,0,0.36,0.19999999999999996,0.36,0.19999999999999996,0.14285714285714288
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,correlation,8,8,0,0.435,0.4,0.435,0.4,0
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,slope,7,7,0,0.4114285714285714,0.4,0.4114285714285714,0.4,0.28571428571428575
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,correlation,8,8,0,0.17375000000000002,0.17000000000000004,0.17375000000000002,0.17000000000000004,0
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,slope,7,7,0,0.10285714285714284,0.09999999999999998,0.10285714285714284,0.09999999999999998,0
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,correlation,8,8,0,0.24000000000000005,0.26500000000000007,0.24000000000000005,0.26500000000000007,0
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,slope,7,7,0,0.16285714285714287,0.16000000000000003,0.16285714285714287,0.16000000000000003,0
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,correlation,8,8,0,0.495,0.33999999999999997,0.495,0.33999999999999997,0.25
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,slope,7,5,2,0.178,0.07,22.79714285714286,0.09999999999999998,0
69d6384637b632d34190012d,PP,PlotWise,PlotWise,correlation,8,8,0,0.27499999999999997,0.27999999999999997,0.27499999999999997,0.27999999999999997,0
69d6384637b632d34190012d,PP,PlotWise,PlotWise,slope,7,7,0,0.46142857142857147,0.44999999999999996,0.46142857142857147,0.44999999999999996,0
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,correlation,8,8,0,0.2975,0.25,0.2975,0.25,0
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,slope,7,7,0,0.22857142857142856,0.2,0.22857142857142856,0.2,0
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,correlation,8,8,0,0.10250000000000004,0.11500000000000005,0.10250000000000004,0.11500000000000005,0
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,slope,7,7,0,0.21142857142857144,0.13999999999999999,0.21142857142857144,0.13999999999999999,0
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,correlation,8,8,0,0.5800000000000001,0.5449999999999999,0.5800000000000001,0.5449999999999999,0.5
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,slope,7,7,0,0.14428571428571427,0.09999999999999998,0.14428571428571427,0.09999999999999998,0
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,correlation,8,8,0,0.265,0.275,0.265,0.275,0
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,slope,7,7,0,0.46,0.20000000000000007,0.46,0.20000000000000007,0.14285714285714288
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,correlation,8,8,0,0.12,0.12,0.12,0.12,0
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,slope,7,7,0,0.12142857142857143,0.03999999999999998,0.12142857142857143,0.03999999999999998,0
