participantId,group,lecture_type,practice_type,status,percentComplete,correlation_n_items,slope_n_items,correlation_n_valid,slope_n_valid,correlation_n_extreme,slope_n_extreme,correlation_mean_abs_error,slope_mean_abs_error,correlation_median_abs_error,slope_median_abs_error,correlation_mean_abs_error_all,slope_mean_abs_error_all,correlation_median_abs_error_all,slope_median_abs_error_all,correlation_sign_error_rate,slope_sign_error_rate,choose_r_n_items,choose_r_score,choose_r_pct_correct,add_points_n_items,add_points_mean_n_points,add_points_pct_r_correct,add_points_mean_intended_delta_r,add_points_mean_final_r,add_points_mean_delta_r,add_points_mean_abs_delta_r,add_points_mean_final_slope,add_points_mean_delta_slope,add_points_mean_abs_delta_slope,add_points_pct_reached_negative_r,FutureInterest,MSI,TSI
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.44125,0.4257142857142857,0.425,0.47,0.44125,0.4257142857142857,0.425,0.47,0.25,0.14285714285714288,2,2,1,3,6,0.6666666666666666,0.06989999999999999,0.33726666666666666,-0.0838333333333333,0.0838333333333333,0.2813,-0.0343,0.08263333333333334,0,4.333333333333333,5.5,5.125
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.17875000000000002,0.41,0.10499999999999998,0.13999999999999996,0.17875000000000002,0.41,0.10499999999999998,0.13999999999999996,0,0.14285714285714288,2,1,0.5,3,6,0.6666666666666666,0.12409999999999999,0.3430666666666667,-0.07803333333333329,0.14636666666666667,0.27263333333333334,-0.04296666666666667,0.11256666666666666,0,6,5.75,6
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.2,0.0742857142857143,0.17500000000000002,0.050000000000000044,0.2,0.0742857142857143,0.17500000000000002,0.050000000000000044,0,0,2,1,0.5,3,6,1,0.34136666666666665,0.30273333333333335,-0.11836666666666662,0.34136666666666665,0.2262,-0.0894,0.18906666666666666,0,5,4,4
69b64051157b8364c2a0afa6,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.23875,0.37,0.28,0.36,0.23875,0.37,0.28,0.36,0,0,2,1,0.5,3,6,0.6666666666666666,0.07276666666666662,0.5450666666666667,0.1239666666666667,0.2159,0.4541,0.13849999999999998,0.17603333333333335,0,4.333333333333333,4.25,4.5
69baaee936d901eb8e30d457,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.21000000000000002,0.23857142857142855,0.16,0.07,0.21000000000000002,0.23857142857142855,0.16,0.07,0,0,2,1,0.5,3,6,1,0.1636,0.06356666666666666,-0.3575333333333333,0.4383333333333333,0.02266666666666667,-0.2929333333333333,0.3556,0,6,5,5.75
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.23625000000000002,0.2257142857142857,0.25,0.24,0.23625000000000002,0.2257142857142857,0.25,0.24,0,0,2,1,0.5,3,6,0.6666666666666666,-0.06556666666666669,0.5208,0.09970000000000004,0.16096666666666667,0.36463333333333336,0.04903333333333336,0.08923333333333333,0,5.666666666666667,6,2.25
69defab23a249a0b519c8f6d,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.64125,0.33,0.545,0.33999999999999997,0.64125,0.33,0.545,0.33999999999999997,0.625,0.14285714285714288,2,1,0.5,3,6,0.33333333333333337,-0.24723333333333336,0.6733333333333333,0.25223333333333336,0.25223333333333336,0.6176,0.302,0.302,0,4.333333333333333,3,3
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,1.055625,0.17714285714285713,1.06,0.15000000000000002,1.055625,0.17714285714285713,1.06,0.15000000000000002,1,0,2,1,0.5,3,7.333333333333333,0.6666666666666666,0.08023333333333335,-0.3091333333333333,-0.7302333333333333,0.7302333333333333,-0.2885333333333333,-0.6041333333333333,0.6041333333333333,1,5.666666666666667,5.5,5.25
69e696140295abac7fb9c28b,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.22749999999999998,0.2514285714285714,0.20000000000000004,0.16999999999999998,0.22749999999999998,0.2514285714285714,0.20000000000000004,0.16999999999999998,0,0,2,1,0.5,3,6,0.6666666666666666,0.07133333333333333,0.29823333333333335,-0.12286666666666665,0.12286666666666665,0.21359999999999998,-0.102,0.102,0,6,6,6
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,completed,100,8,7,8,7,0,0,0.25125000000000003,0.11285714285714289,0.22000000000000003,0.040000000000000036,0.25125000000000003,0.11285714285714289,0.22000000000000003,0.040000000000000036,0,0,2,1,0.5,3,6,0.33333333333333337,-0.044966666666666696,0.5933333333333334,0.17223333333333338,0.17223333333333338,0.4682,0.15259999999999999,0.15259999999999999,0,5.666666666666667,3.5,3.875
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,completed,100,8,7,8,7,0,0,0.65,0.41857142857142854,0.55,0.18999999999999997,0.65,0.41857142857142854,0.55,0.18999999999999997,0.375,0.2857142857142857,2,1,0.5,3,7.333333333333333,0.33333333333333337,-0.0721,0.7903333333333333,0.36923333333333336,0.36923333333333336,0.5215,0.2059,0.2059,0,6,3.75,4.125
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,completed,100,8,7,8,7,0,0,0.48375,0.5171428571428571,0.4,0.5,0.48375,0.5171428571428571,0.4,0.5,0.375,0,2,1,0.5,3,6,0.6666666666666666,0.03693333333333332,0.40703333333333336,-0.014066666666666616,0.1302666666666667,0.31703333333333333,0.0014333333333333559,0.0911,0,5.666666666666667,5.5,5.875
