participantId,group,lecture_type,practice_type,trialId,responseId,answer,answer_clean,correct_side,is_correct,abs_r_left,abs_r_right,duration,cleanedDuration,parameters_leftLabel,parameters_rightLabel
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3635,3635,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2657,2657,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69b64051157b8364c2a0afa6,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3935,3935,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69b64051157b8364c2a0afa6,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2246,2246,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69baaee936d901eb8e30d457,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3130,3130,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69baaee936d901eb8e30d457,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2481,2481,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,9245,9245,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5018,5018,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69defab23a249a0b519c8f6d,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7015,7015,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69defab23a249a0b519c8f6d,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3202,3202,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
